ID,Year
119,2012
1181,2012
731,2012
29,2012
371,2012
749,2012
263,2012
605,2012
1145,2012
533,2012
407,2012
1091,2012
155,2012
1055,2012
299,2012
1127,2012
335,2012
1001,2012
