ID,CID
1108,2119
1037,2115
317,372
767,882
587,870
479,501
1217,2125
821,885
461,500
497,502
785,883
101,86
1019,2112
803,884
191,144
857,887
83,85
389,496
281,370
713,879
839,886
695,878
353,374
11,81
47,83
1109,2119
623,872
983,2045
875,2039
245,368
425,498
677,877
911,2041
929,2042
227,367
137,137
65,84
659,876
551,867
1073,2117
1163,2122
209,366
947,2043
569,868
173,139
1199,2124
641,875
893,2040
515,503
965,2044
443,499
119,87
1181,2123
731,880
29,82
371,376
749,881
263,369
605,871
1145,2121
533,866
407,497
1091,2118
155,138
1055,2116
299,371
1127,2120
335,373
1001,2046
